	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
9	anim-anim	waiters	by	tailor	like	knitting	GSLD_plur_syntactic	The waiters by the tailor like knitting.	0	4703106084	1363954	3371396	709849832	2033048	2	7	6	4	8	syntactic
4	anim-anim	farmer	near	banker	leaks	suddenly	GDLD_sing_semantic	The farmer near the banker leaks suddenly.	1	154954539	20568429	5135467	1935324	58025537	4	6	6	5	8	semantic
6	anim-anim	judges	near	bankers	dislike	skiing	GSLS_C_plur_syntactic	The judges that the bankers dislike pray.	0	154954539	24677643	6179440	6703610	1934331	4	6	7	7	6	syntactic
6	anim-anim	judges	near	pilots	like	yachting	GSLS_plur_syntactic	The judges near the pilots like yachting.	0	154954539	24677643	5455700	709849832	382785	4	6	6	4	8	syntactic
7	anim-anim	lawyer	near	actor	likes	camping	GSLS_C_sing_syntactic	The lawyer that the actor likes sits.	0	154954539	21493788	14665285	9285296	3430548	4	6	5	5	7	syntactic
4	anim-anim	builder	near	actors	fears	acting	GSLD_sing_syntactic	The builder near the actors fears acting.	0	154954539	4915470	18120032	17721106	38536231	4	7	6	5	6	syntactic
7	inanim-inanim	scooters	near	trucks	leak	abruptly	GSLS_plur_semantic	The scooters near the trucks leak abruptly.	0	154954539	182717	6808013	3272091	7262021	4	8	6	4	8	semantic
7	inanim-inanim	scooter	beside	taxi	leaks	suddenly	GSLS_sing_semantic	The scooter beside the taxi leaks suddenly.	0	29718597	405037	4478068	1935324	58025537	6	7	4	5	8	semantic
3	anim-anim	farmer	beside	builder	likes	bowling	GSLS_sing_semantic	The farmer beside the builder likes bowling.	0	29718597	20568429	4915470	9285296	2476732	6	6	7	5	7	semantic
1	anim-anim	bankers	near	teachers	hate	bowling	GSLS_plur_syntactic	The bankers near the teachers hate bowling.	0	154954539	6179440	73279702	16538862	2476732	4	7	8	4	7	syntactic
5	anim-anim	plumber	near	teachers	love	sailing	GDLS_C_sing_syntactic	The plumber that the teachers love arrives.	0	154954539	734834	73279702	210137973	8731451	4	7	8	4	7	syntactic
3	inanim-anim	van	beside	baker	avoids	painting	GDLS_sing_semantic	The van beside the baker avoids painting.	1	29718597	54213864	13610150	3608938	32738623	6	3	5	6	8	semantic
6	anim-anim	farmer	near	plumbers	prefers	knitting	GSLD_C_sing_syntactic	The farmer that the plumbers prefers arrives.	1	154954539	20568429	543869	4149558	2033048	4	6	8	7	8	syntactic
0	anim-inanim	judge	near	scooter	avoids	boxing	GSLD_sing_semantic	The judge near the scooter avoids boxing.	0	154954539	63704000	405037	3608938	2262574	4	5	7	6	6	semantic
6	anim-anim	vets	by	doctors	loves	gambling	GDLD_C_plur_syntactic	The vets that the doctors loves die.	1	4703106084	262330	19521968	12028067	6130169	2	4	7	5	8	syntactic
3	anim-anim	nurse	by	lawyers	avoids	boxing	GSLD_C_sing_syntactic	The nurse that the lawyers avoids sits.	1	4703106084	23875250	15702570	3608938	2262574	2	5	7	6	6	syntactic
1	anim-anim	lawyer	near	baker	hate	knitting	GDLD_sing_syntactic	The lawyer near the baker hate knitting.	1	154954539	21493788	13610150	16538862	2033048	4	6	5	4	8	syntactic
5	anim-anim	actors	by	nurses	avoids	gambling	GDLD_plur_syntactic	The actors by the nurses avoids gambling.	1	4703106084	18120032	14176931	3608938	6130169	2	6	6	6	8	syntactic
1	anim-anim	doctors	by	pilot	detest	bowling	GSLD_C_plur_syntactic	The doctors that the pilot detest pray.	1	4703106084	19521968	16262831	740903	2476732	2	7	5	6	7	syntactic
3	anim-anim	teachers	near	chef	dislike	driving	GSLD_plur_syntactic	The teachers near the chef dislike driving.	0	154954539	73279702	2470923	6703610	25592961	4	8	4	7	7	syntactic
4	anim-anim	chef	by	builder	dislikes	skiing	GSLS_sing_syntactic	The chef by the builder dislikes skiing.	0	4703106084	2470923	4915470	1451937	1934331	2	4	7	8	6	syntactic
5	anim-anim	athletes	beside	nurses	fears	driving	GDLD_C_plur_syntactic	The athletes that the nurses fears die.	1	29718597	4726603	14176931	17721106	25592961	6	8	6	5	7	syntactic
0	anim-inanim	plumbers	near	trucks	dislike	painting	GSLD_plur_semantic	The plumbers near the trucks dislike painting.	0	154954539	543869	6808013	6703610	32738623	4	8	6	7	8	semantic
7	inanim-inanim	cars	beside	scooters	avoid	cycling	GDLD_plur_semantic	The cars beside the scooters avoid cycling.	1	29718597	24371897	182717	60713817	2334761	6	4	8	5	7	semantic
4	anim-inanim	vets	near	cars	honk	once	GDLS_plur_semantic	The vets near the cars honk once.	1	154954539	262330	24371897	186601	267334111	4	4	4	4	4	semantic
3	anim-anim	dentist	beside	builders	avoids	farming	GSLD_sing_syntactic	The dentist beside the builders avoids farming.	0	29718597	3198534	5454568	3608938	15602571	6	7	8	6	7	syntactic
5	anim-anim	painter	beside	teacher	hates	climbing	GSLS_sing_syntactic	The painter beside the teacher hates climbing.	0	29718597	13065194	74147301	2416713	7755370	6	7	7	5	8	syntactic
3	anim-anim	barber	by	dentists	hate	bowling	GDLS_sing_syntactic	The barber by the dentists hate bowling.	1	4703106084	4668021	1487700	16538862	2476732	2	6	8	4	7	syntactic
3	inanim-anim	cars	near	builders	crash	noisily	GSLD_plur_semantic	The cars near the builders crash noisily.	0	154954539	24371897	5454568	6995312	807804	4	4	8	5	7	semantic
0	anim-anim	vets	beside	judge	loves	acting	GDLS_plur_syntactic	The vets beside the judge loves acting.	1	29718597	262330	63704000	12028067	38536231	6	4	5	5	6	syntactic
8	anim-anim	dentists	near	actor	hates	cycling	GDLS_plur_syntactic	The dentists near the actor hates cycling.	1	154954539	1487700	14665285	2416713	2334761	4	8	5	5	7	syntactic
8	anim-anim	chefs	beside	plumbers	dislikes	knitting	GDLD_plur_syntactic	The chefs beside the plumbers dislikes knitting.	1	29718597	752773	543869	1451937	2033048	6	5	8	8	8	syntactic
8	anim-anim	teachers	beside	actor	prefer	climbing	GSLD_C_plur_syntactic	The teachers that the actor prefer die.	1	29718597	73279702	14665285	20278168	7755370	6	8	5	6	8	syntactic
8	anim-anim	teacher	near	barber	detest	shopping	GDLD_sing_syntactic	The teacher near the barber detest shopping.	1	154954539	74147301	4668021	740903	11206466	4	7	6	6	8	syntactic
0	anim-anim	builders	near	authors	avoid	gambling	GSLS_C_plur_syntactic	The builders that the authors avoid pray.	0	154954539	5454568	42845288	60713817	6130169	4	8	7	5	8	syntactic
3	anim-anim	barbers	near	judge	prefers	driving	GDLS_C_plur_syntactic	The barbers that the judge prefers sit.	0	154954539	607437	63704000	4149558	25592961	4	7	5	7	7	syntactic
5	anim-anim	judges	by	waiters	fear	yachting	GSLS_plur_semantic	The judges by the waiters fear yachting.	0	4703106084	24677643	1363954	83025936	382785	2	6	7	4	8	semantic
3	anim-anim	barber	near	actors	hate	gambling	GDLS_C_sing_syntactic	The barber that the actors hate sits.	0	154954539	4668021	18120032	16538862	6130169	4	6	6	4	8	syntactic
9	anim-anim	waiter	beside	builder	detest	acting	GDLD_C_sing_syntactic	The waiter that the builder detest sits.	1	29718597	3340926	4915470	740903	38536231	6	6	7	6	6	syntactic
2	inanim-anim	vans	near	lawyers	like	driving	GDLS_plur_semantic	The vans near the lawyers like driving.	1	154954539	963840	15702570	709849832	25592961	4	4	7	4	7	semantic
6	anim-anim	painter	near	plumber	hates	sailing	GSLS_C_sing_syntactic	The painter that the plumber hates arrives.	0	154954539	13065194	734834	2416713	8731451	4	7	7	5	7	syntactic
