	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type
0	anim-inanim	lawyers	by	buses	fear	shopping	GSLD_plur_semantic	The lawyers by the buses fear shopping.	0	4703106084	15702570	4213326	83025936	11206466	2	7	5	4	8	semantic
7	anim-anim	lawyer	by	baker	detest	driving	GDLD_C_sing_syntactic	The lawyer that the baker detest dies.	1	4703106084	21493788	13610150	740903	25592961	2	6	5	6	7	syntactic
5	inanim-anim	buses	by	builders	leak	abruptly	GSLD_plur_semantic	The buses by the builders leak abruptly.	0	4703106084	4213326	5454568	3272091	7262021	2	5	8	4	8	semantic
5	anim-anim	plumber	beside	banker	detests	boxing	GSLS_C_sing_syntactic	The plumber that the banker detests dies.	0	29718597	734834	5135467	181255	2262574	6	7	6	7	6	syntactic
4	anim-inanim	dentists	by	scooters	malfunction	suddenly	GDLS_plur_semantic	The dentists by the scooters malfunction suddenly.	1	4703106084	1487700	182717	818548	58025537	2	8	8	11	8	semantic
0	anim-anim	lawyers	beside	authors	avoids	spinning	GDLD_C_plur_syntactic	The lawyers that the authors avoids arrive.	1	29718597	15702570	42845288	3608938	6978676	6	7	7	6	8	syntactic
3	anim-inanim	painter	beside	scooter	dislikes	cooking	GSLD_sing_semantic	The painter beside the scooter dislikes cooking.	0	29718597	13065194	405037	1451937	13672366	6	7	7	8	7	semantic
1	anim-anim	builder	beside	painter	love	skiing	GDLD_C_sing_syntactic	The builder that the painter love arrives.	1	29718597	4915470	13065194	210137973	1934331	6	7	7	4	6	syntactic
9	anim-anim	farmers	by	dentist	love	studying	GSLD_C_plur_syntactic	The farmers that the dentist love pray.	1	4703106084	33753767	3198534	210137973	19754110	2	7	7	4	8	syntactic
8	inanim-inanim	buses	near	cars	rust	suddenly	GSLS_plur_semantic	The buses near the cars rust suddenly.	0	154954539	4213326	24371897	3598446	58025537	4	5	4	4	8	semantic
7	anim-anim	doctors	near	dentists	dislikes	cycling	GDLD_plur_syntactic	The doctors near the dentists dislikes cycling.	1	154954539	19521968	1487700	1451937	2334761	4	7	8	8	7	syntactic
8	inanim-inanim	taxi	near	truck	malfunctions	abruptly	GSLS_sing_semantic	The taxi near the truck malfunctions abruptly.	0	154954539	4478068	14274010	327422	7262021	4	4	5	12	8	semantic
0	anim-anim	athlete	beside	judge	like	dancing	GDLD_sing_syntactic	The athlete beside the judge like dancing.	1	29718597	3419291	63704000	709849832	15565681	6	7	5	4	7	syntactic
2	anim-anim	builders	by	author	fear	farming	GSLD_plur_syntactic	The builders by the author fear farming.	0	4703106084	5454568	99092074	83025936	15602571	2	8	6	4	7	syntactic
2	anim-inanim	pilot	beside	bus	rusts	suddenly	GDLS_sing_semantic	The pilot beside the bus rusts suddenly.	1	29718597	16262831	19370874	219876	58025537	6	5	3	5	8	semantic
6	anim-anim	farmers	beside	builder	prefer	skiing	GSLD_plur_syntactic	The farmers beside the builder prefer skiing.	0	29718597	33753767	4915470	20278168	1934331	6	7	7	6	6	syntactic
2	inanim-anim	truck	by	waiter	leaks	suddenly	GSLD_sing_semantic	The truck by the waiter leaks suddenly.	0	4703106084	14274010	3340926	1935324	58025537	2	5	6	5	8	semantic
1	anim-anim	vet	beside	builders	fears	bowling	GSLD_C_sing_syntactic	The vet that the builders fears arrives.	1	29718597	2597895	5454568	17721106	2476732	6	3	8	5	7	syntactic
9	anim-anim	plumber	by	barber	love	fishing	GDLD_sing_syntactic	The plumber by the barber love fishing.	1	4703106084	734834	4668021	210137973	21745307	2	7	6	4	7	syntactic
6	anim-anim	waiter	near	athlete	hates	acting	GSLS_sing_semantic	The waiter near the athlete hates acting.	0	154954539	3340926	3419291	2416713	38536231	4	6	7	5	6	semantic
7	anim-anim	actor	beside	judges	likes	yachting	GSLD_C_sing_syntactic	The actor that the judges likes dies.	1	29718597	14665285	24677643	9285296	382785	6	5	6	5	8	syntactic
8	anim-anim	banker	near	builders	prefer	painting	GDLS_C_sing_syntactic	The banker that the builders prefer sits.	0	154954539	5135467	5454568	20278168	32738623	4	6	8	6	8	syntactic
8	anim-anim	authors	near	teachers	dislikes	boxing	GDLD_C_plur_syntactic	The authors that the teachers dislikes arrive.	1	154954539	42845288	73279702	1451937	2262574	4	7	8	8	6	syntactic
3	anim-anim	judge	by	vet	rusts	suddenly	GDLD_sing_semantic	The judge by the vet rusts suddenly.	1	4703106084	63704000	2597895	219876	58025537	2	5	3	5	8	semantic
2	anim-anim	waiters	beside	authors	fear	cooking	GSLS_C_plur_syntactic	The waiters that the authors fear arrive.	0	29718597	1363954	42845288	83025936	13672366	6	7	7	4	7	syntactic
3	inanim-inanim	tractors	by	vans	like	bowling	GDLD_plur_semantic	The tractors by the vans like bowling.	1	4703106084	1908544	963840	709849832	2476732	2	8	4	4	7	semantic
8	anim-anim	dentists	by	teachers	prefers	cycling	GDLD_plur_syntactic	The dentists by the teachers prefers cycling.	1	4703106084	1487700	73279702	4149558	2334761	2	8	8	7	7	syntactic
1	anim-anim	tailors	near	judges	fear	driving	GSLS_plur_semantic	The tailors near the judges fear driving.	0	154954539	1121681	24677643	83025936	25592961	4	7	6	4	7	semantic
5	anim-anim	chefs	near	waiter	loves	gambling	GDLS_C_plur_syntactic	The chefs that the waiter loves die.	0	154954539	752773	3340926	12028067	6130169	4	5	6	5	8	syntactic
9	anim-anim	builders	beside	bankers	dislike	sailing	GSLS_C_plur_syntactic	The builders that the bankers dislike sit.	0	29718597	5454568	6179440	6703610	8731451	6	8	7	7	7	syntactic
5	inanim-anim	cars	by	actors	hate	camping	GDLS_plur_semantic	The cars by the actors hate camping.	1	4703106084	24371897	18120032	16538862	3430548	2	4	6	4	7	semantic
6	inanim-inanim	car	near	truck	avoids	bowling	GDLD_sing_semantic	The car near the truck avoids bowling.	1	154954539	71566944	14274010	3608938	2476732	4	3	5	6	7	semantic
5	anim-anim	dentists	beside	painter	hate	skiing	GSLD_C_plur_syntactic	The dentists that the painter hate die.	1	29718597	1487700	13065194	16538862	1934331	6	8	7	4	6	syntactic
4	anim-anim	dentist	beside	waiter	avoids	shopping	GSLS_sing_syntactic	The dentist beside the waiter avoids shopping.	0	29718597	3198534	3340926	3608938	11206466	6	7	6	6	8	syntactic
9	anim-anim	tailors	by	plumbers	hate	gambling	GSLS_plur_syntactic	The tailors by the plumbers hate gambling.	0	4703106084	1121681	543869	16538862	6130169	2	7	8	4	8	syntactic
9	anim-anim	doctor	beside	chefs	prefers	knitting	GSLD_sing_syntactic	The doctor beside the chefs prefers knitting.	0	29718597	52110730	752773	4149558	2033048	6	6	5	7	8	syntactic
1	anim-anim	nurses	near	painter	avoids	camping	GDLS_C_plur_syntactic	The nurses that the painter avoids sit.	0	154954539	14176931	13065194	3608938	3430548	4	6	7	6	7	syntactic
7	anim-anim	lawyer	beside	nurses	like	boxing	GDLS_sing_syntactic	The lawyer beside the nurses like boxing.	1	29718597	21493788	14176931	709849832	2262574	6	6	6	4	6	syntactic
5	anim-anim	author	by	vets	dislike	acting	GDLS_sing_syntactic	The author by the vets dislike acting.	1	4703106084	99092074	262330	6703610	38536231	2	6	4	7	6	syntactic
0	anim-anim	bakers	near	painters	detest	camping	GSLS_plur_syntactic	The bakers near the painters detest camping.	0	154954539	997597	7084827	740903	3430548	4	6	8	6	7	syntactic
5	anim-anim	vet	beside	barbers	hates	spinning	GSLD_sing_syntactic	The vet beside the barbers hates spinning.	0	29718597	2597895	607437	2416713	6978676	6	3	7	5	8	syntactic
1	anim-anim	bakers	by	barber	dislikes	spinning	GDLS_plur_syntactic	The bakers by the barber dislikes spinning.	1	4703106084	997597	4668021	1451937	6978676	2	6	6	8	8	syntactic
5	inanim-anim	car	by	painter	prefers	shopping	GDLS_sing_semantic	The car by the painter prefers shopping.	1	4703106084	71566944	13065194	4149558	11206466	2	3	7	7	8	semantic
9	anim-anim	barber	beside	athletes	hate	dancing	GDLS_C_sing_syntactic	The barber that the athletes hate sits.	0	29718597	4668021	4726603	16538862	15565681	6	6	8	4	7	syntactic
0	anim-anim	builder	near	judge	hates	walking	GSLS_C_sing_syntactic	The builder that the judge hates arrives.	0	154954539	4915470	63704000	2416713	30746983	4	7	5	5	7	syntactic
8	anim-anim	nurses	near	judges	leak	suddenly	GDLD_plur_semantic	The nurses near the judges leak suddenly.	1	154954539	14176931	24677643	3272091	58025537	4	6	6	4	8	semantic
3	anim-anim	teacher	near	nurse	detests	farming	GSLS_sing_syntactic	The teacher near the nurse detests farming.	0	154954539	74147301	23875250	181255	15602571	4	7	5	7	7	syntactic
3	anim-anim	teachers	near	chef	hates	driving	GDLS_plur_syntactic	The teachers near the chef hates driving.	1	154954539	73279702	2470923	2416713	25592961	4	8	4	5	7	syntactic
