	pair_index	n1	pp	n2	v1	v2/n3/adverb	condition	sentence	violIndex	pp_freq	n1_freq	n2_freq	v1_freq	v2/n3/adverb_freq	pp_nl	n1_nl	n2_nl	v1_nl	v2/n3/adverb_nl	violation_type	n1_v1_freq	n2_v1_freq
9018517	anim-anim	athlete	that	actor	admire	sits	GDLD_C_sing_syntactic	The athlete that the actor admire sits.	1	8000768228	3419291	14665285	6461497	8154939	4	7	5	6	4	syntactic	0	0
7311633	anim-anim	barber	that	painters	love	studies	GDLS_C_sing_syntactic	The barber that the painters love studies.	0	8000768228	4668021	7084827	210137973	159772512	4	6	8	4	7	syntactic	0	0
1353136	anim-inanim	actor	by	truck	likes	fishing	GSLD_sing_semantic	The actor by the truck likes fishing.	0	4703106084	14665285	14274010	9285296	21745307	2	5	5	5	7	semantic	0	0
1326355	inanim-inanim	scooter	by	bus	smashes	suddenly	GSLS_sing_semantic	The scooter by the bus smashes suddenly.	0	4703106084	405037	19370874	177467	58025537	2	7	3	7	8	semantic	0	0
1454541	inanim-anim	taxi	near	author	dislikes	boxing	GDLS_sing_semantic	The taxi near the author dislikes boxing.	1	154954539	4478068	99092074	1451937	2262574	4	4	6	8	6	semantic	0	0
1193262	anim-anim	athlete	near	chef	likes	camping	GSLS_sing_syntactic	The athlete near the chef likes camping.	0	154954539	3419291	2470923	9285296	3430548	4	7	4	5	7	syntactic	0	0
1488201	anim-anim	barber	beside	banker	honks	noisily	GDLD_sing_semantic	The barber beside the banker honks noisily.	1	29718597	4668021	5135467	0	807804	6	6	6	5	7	semantic	0	0
2924321	anim-anim	authors	that	doctor	admire	smile	GSLD_C_plur_syntactic	The authors that the doctor admire smile.	1	8000768228	42845288	52110730	6461497	32358171	4	7	6	6	5	syntactic	0	0
4554545	anim-anim	painters	that	painter	love	cry	GSLD_C_plur_syntactic	The painters that the painter love cry.	1	8000768228	7084827	13065194	210137973	24708519	4	8	7	4	3	syntactic	0	0
8736116	anim-anim	waiter	by	teacher	dislike	cooking	GDLD_sing_syntactic	The waiter by the teacher dislike cooking.	1	4703106084	3340926	74147301	6703610	13672366	2	6	7	7	7	syntactic	0	0
2060977	anim-anim	dentists	that	plumbers	hate	move	GSLS_C_plur_syntactic	The dentists that the plumbers hate move.	0	8000768228	1487700	543869	16538862	93962800	4	8	8	4	4	syntactic	0	0
3212350	anim-anim	athletes	near	lawyer	like	camping	GSLD_plur_syntactic	The athletes near the lawyer like camping.	0	154954539	4726603	21493788	709849832	3430548	4	8	6	4	7	syntactic	68	34
1449673	inanim-anim	tractor	beside	actor	loves	fencing	GDLS_sing_semantic	The tractor beside the actor loves fencing.	1	29718597	3282135	14665285	12028067	1887055	6	7	5	5	7	semantic	0	0
1447686	inanim-anim	taxis	beside	actors	like	bowling	GDLS_plur_semantic	The taxis beside the actors like bowling.	1	29718597	1073931	18120032	709849832	2476732	6	5	6	4	7	semantic	0	87
6957130	anim-anim	vets	by	dentist	loves	boxing	GDLS_plur_syntactic	The vets by the dentist loves boxing.	1	4703106084	262330	3198534	12028067	2262574	2	4	7	5	6	syntactic	0	0
1330213	inanim-inanim	cars	near	tractors	brake	noisily	GSLS_plur_semantic	The cars near the tractors brake noisily.	0	154954539	24371897	1908544	4685005	807804	4	4	8	5	7	semantic	0	0
5686018	anim-anim	tailor	by	doctors	love	skiing	GDLS_sing_syntactic	The tailor by the doctors love skiing.	1	4703106084	3371396	19521968	210137973	1934331	2	6	7	4	6	syntactic	0	0
1317503	anim-anim	baker	that	chef	admires	lies	GSLS_C_sing_syntactic	The baker that the chef admires lies.	0	8000768228	13610150	2470923	929819	48941300	4	5	4	7	4	syntactic	0	0
4073240	anim-anim	teacher	near	dentists	dislikes	yachting	GSLD_sing_syntactic	The teacher near the dentists dislikes yachting.	0	154954539	74147301	1487700	1451937	382785	4	7	8	8	8	syntactic	0	0
1423992	inanim-anim	cars	by	doctors	know	english	GDLS_plur_semantic	The cars by the doctors know English.	1	4703106084	24371897	19521968	405542218	195298116	2	4	7	4	7	semantic	0	77
8340160	anim-anim	waiters	near	bakers	loves	climbing	GDLD_plur_syntactic	The waiters near the bakers loves climbing.	1	154954539	1363954	997597	12028067	7755370	4	7	6	5	8	syntactic	0	0
501505	anim-anim	tailors	that	teachers	dislike	cough	GSLS_C_plur_syntactic	The tailors that the teachers dislike cough.	0	8000768228	1121681	73279702	6703610	5632779	4	7	8	7	5	syntactic	0	0
8418129	anim-anim	barbers	that	doctors	hates	pray	GDLD_C_plur_syntactic	The barbers that the doctors hates pray.	1	8000768228	607437	19521968	2416713	20289141	4	7	7	5	4	syntactic	0	0
1395026	inanim-anim	jeep	near	teacher	smashes	abruptly	GSLD_sing_semantic	The jeep near the teacher smashes abruptly.	0	154954539	2009598	74147301	177467	7262021	4	4	7	7	8	semantic	0	0
7151233	anim-anim	lawyers	that	nurse	hates	swim	GDLS_C_plur_syntactic	The lawyers that the nurse hates swim.	0	8000768228	15702570	23875250	2416713	6237963	4	7	5	5	4	syntactic	0	0
883606	anim-anim	pilot	by	author	dislikes	knitting	GSLS_sing_syntactic	The pilot by the author dislikes knitting.	0	4703106084	16262831	99092074	1451937	2033048	2	5	6	8	8	syntactic	0	0
5835630	anim-anim	waiters	beside	farmer	hates	cycling	GDLS_plur_syntactic	The waiters beside the farmer hates cycling.	1	29718597	1363954	20568429	2416713	2334761	6	7	6	5	7	syntactic	0	0
1329559	inanim-inanim	tractor	near	jeep	skids	suddenly	GSLS_sing_semantic	The tractor near the jeep skids suddenly.	0	154954539	3282135	2009598	250523	58025537	4	7	4	5	8	semantic	0	0
1329396	inanim-inanim	taxis	near	jeeps	smash	loudly	GSLS_plur_semantic	The taxis near the jeeps smash loudly.	0	154954539	1073931	406341	1655337	5998778	4	5	5	5	6	semantic	0	0
1348225	anim-inanim	doctors	beside	taxis	admire	humility	GSLD_plur_semantic	The doctors beside the taxis admire humility.	0	29718597	19521968	1073931	6461497	5981773	6	7	5	6	8	semantic	0	0
10036449	anim-anim	nurse	that	painter	hate	sits	GDLD_C_sing_syntactic	The nurse that the painter hate sits.	1	8000768228	23875250	13065194	16538862	8154939	4	5	7	4	4	syntactic	0	0
8526840	anim-anim	lawyers	by	farmers	dislikes	acting	GDLD_plur_syntactic	The lawyers by the farmers dislikes acting.	1	4703106084	15702570	33753767	1451937	38536231	2	7	7	8	6	syntactic	0	0
